TABLE_NAME,ATTRIBUTE_NAME,IS_PK,IS_FK,REFERENCING_TABLE,REFERENCING_ATTRIBUTE
match_fact,match_id,y,n,match,match_id
match,match_id,y,n,match_fact,match_id
match,away_team_id,n,y,national_team,team_id
national_team,team_id,y,n,match,away_team_id
player,player_id,y,n,player_fact,player_id
player_fact,team_id,n,y,national_team,team_id
national_team,team_id,y,n,player_fact,team_id
player,player_id,y,n,player_club_team,player_id
player_club_team,player_id,n,y,player,player_id
player_club_team,club_id,n,y,club,club_id
club,club_id,y,n,player_club_team,club_id
player_club_team,player_id,y,n,player,player_id
world_cup,year,y,n
world_cup,winner,n,y,national_team,team_id
world_cup,runner_up,n,y,national_team,team_id
world_cup,third,n,y,national_team,team_id
world_cup,fourth,n,y,national_team,team_id
stadium,stadium_id,y,n
player,player_id,y,n
player_fact,year_id,n,y,world_cup,year
player_fact,team_id,n,y,national_team,team_id
player_fact,player_id,n,y,player,player_id
player_fact,coach_id,n,y,coach,coach_id
player_club_team,player_id,y,y,player,player_id
player_club_team,club_id,y,y,club,club_id
national_team,team_id,y,n
match,match_id,y,n
match,year,n,y,	world_cup,year
match,stadium_id,n,y,stadium,stadium_id
match,home_team_id,n,y,national_team,team_id
match,away_team_id,n,y,national_team,team_id
match_fact,match_id,n,y,match,match_id
match_fact,player_id,n,y,player,player_id
match_fact,team_id,n,y,national_team,team_id
league,league_id,y,n
coach,coach_id,y,n
coach_club_team,coach_id,n,y,coach,coach_id
coach_club_team,club_id,n,y,club,club_id
club,club_id,y,n
club_league_history,club_id,n,y,club,club_id
club_league_history,league_id,n,y,league,league_id
