TABLE_NAME,ATTRIBUTE_NAME,IS_PK,IS_FK,REFERENCING_TABLE,REFERENCING_ATTRIBUTE
aka_title,id,y,n,,
aka_title,movie_id,n,y,title,id
movie_link,id,y,n,,
movie_link,link_type_id,n,y,link_type,id
link_type,id,y,y,movie_link,link_type_id
movie_link,movie_id,n,y,title,id
movie_link,linked_movie_id,n,y,title,id
char_name,id,y,y,cast_info,person_role_id
role_type,id,y,y,cast_info,role_id
cast_info,id,y,n,,
cast_info,movie_id,n,y,title,id
cast_info,person_id,n,y,name,id
comp_cast_type,id,y,y,complete_cast,subject_id
comp_cast_type,id,y,y,complete_cast,status_id
complete_cast,id,y,n,,
complete_cast,movie_id,n,y,title,id
title,id,y,y,movie_companies,movie_id
title,id,y,y,movie_keyword,movie_id
title,id,y,y,movie_info_idx,movie_id
title,id,y,y,movie_info,movie_id
title,kind_id,n,y,kind_type,id
kind_type,id,y,n,,
aka_name,person_id,n,y,name,id
aka_name,id,y,n,,
name,id,y,y,aka_name,person_id
name,id,y,y,cast_info,person_id
name,id,y,y,person_info,person_id
person_info,id,y,n,,
person_info,person_id,n,y,name,id
person_info,info_type_id,n,y,info_type,id
movie_companies,id,y,n,,
movie_companies,movie_id,n,y,title,id
movie_companies,company_id,n,y,company_name,id
company_type,id,y,y,movie_companies,company_type_id
company_name,id,y,y,movie_companies,company_id
movie_keyword,id,y,n,,
movie_keyword,movie_id,n,y,title,id
movie_keyword,keyword_id,n,y,keyword,id
info_type,id,y,y,person_info,info_type_id
info_type,id,y,y,movie_info,info_type_id
info_type,id,y,y,movie_info_idx,info_type_id
movie_info_idx,id,y,n,,
movie_info_idx,movie_id,n,y,title,id
movie_info_idx,info_type_id,n,y,info_type,id
keyword,id,y,y,movie_keyword,keyword_id
