TABLE_NAME,ATTRIBUTE_NAME,IS_PK,IS_FK,REFERENCING_TABLE,REFERENCING_ATTRIBUTE
aka_title,at_id,y,n,,
aka_title,at_movie_id,n,y,title,t_id
movie_link,ml_id,y,n,,
movie_link,ml_link_type_id,n,y,link_type,lt_id
link_type,lt_id,y,y,movie_link,ml_link_type_id
movie_link,ml_movie_id,n,y,title,t_id
movie_link,ml_linked_movie_id,n,y,title,t_id
char_name,cn_id,y,y,cast_info,ci_person_role_id
role_type,rt_id,y,y,cast_info,ci_role_id
cast_info,ci_id,y,n,,
cast_info,ci_movie_id,n,y,title,t_id
cast_info,ci_person_id,n,y,name,n_id
comp_cast_type,cct_id,y,y,complete_cast,cc_subject_id
comp_cast_type,cct_id,y,y,complete_cast,cc_status_id
complete_cast,cc_id,y,n,,
complete_cast,cc_movie_id,n,y,title,t_id
title,t_id,y,y,movie_companies,mc_movie_id
title,t_id,y,y,movie_keyword,mk_movie_id
title,t_id,y,y,movie_info_idx,mii_movie_id
title,t_id,y,y,movie_info,mi_movie_id
title,t_kind_id,n,y,kind_type,kt_id
kind_type,kt_id,y,n,,
aka_name,an_person_id,n,y,name,n_id
aka_name,an_id,y,n,,
name,n_id,y,y,aka_name,an_person_id
name,n_id,y,y,cast_info,ci_person_id
name,n_id,y,y,person_info,pi_person_id
person_info,pi_id,y,n,,
person_info,pi_person_id,n,y,name,n_id
person_info,pi_info_type_id,n,y,info_type,it_id
movie_companies,mc_id,y,n,,
movie_companies,mc_movie_id,n,y,title,t_id
movie_companies,mc_company_id,n,y,company_name,cyn_id
company_type,ct_id,y,y,movie_companies,mc_company_type_id
company_name,cyn_id,y,y,movie_companies,mc_company_id
movie_keyword,mk_id,y,n,,
movie_keyword,mk_movie_id,n,y,title,t_id
movie_keyword,mk_keyword_id,n,y,keyword,k_id
info_type,it_id,y,y,person_info,pi_info_type_id
info_type,it_id,y,y,movie_info,mi_info_type_id
info_type,it_id,y,y,movie_info_idx,mii_info_type_id
movie_info_idx,mii_id,y,n,,
movie_info_idx,mii_movie_id,n,y,title,t_id
movie_info_idx,mii_info_type_id,n,y,info_type,it_id
keyword,k_id,y,y,movie_keyword,mk_keyword_id
