#    q    union    from    cs2    vm    wc    pj    gb    agg    ob    lim
Q1    7.95    0.0    46.53    4.29    0.28    0.36    1.94    0.38    0.22    0.28    2.41
Q2    1.87    0.0    2.92    20.22    5.89    0.72    1.74    0.94    0.0    0.78    10.22
Q3    2.8    0.0    4.63    1.3    0.88    0.95    1.1    0.89    0.03    0.18    7.17
Q4    0.27    0.0    1.95    10.57    2.82    1.38    0.62    0.17    0.01    0.3    2.31
Q5    1.11    0.0    2.36    4.21    1427.24    1.36    0.79    1.82    0.09    0.37    10.95
Q6    0.57    0.0    3.62    1.39    0.44    1.03    0.24    0.15    0.02    0.03    1.98
Q10    0.88    0.0    4.8    3.13    98.79    0.84    2.45    0.96    0.03    0.66    7.82
Q11    0.31    0.0    1.46    8.69    1.36    0.26    0.27    0.47    0.03    0.16    5.39
Q16    0.15    0.0    1.05    10.4    2.55    0.57    0.56    0.21    0.0    0.04    3.24
Q17    0.47    0.0    2.45    1.48    5.86    0.41    0.19    0.45    0.02    0.02    3.95
Q18    1.04    0.0    5.3    3.11    1.83    0.47    1.27    3.9    0.36    0.38    5.82
Q21    1.07    0.0    4.35    3.47    12.53    0.54    0.52    1.1    0.01    0.27    7.38
